Characters,Meaning,Pronunciation
到期,to fall due (loan etc); to expire (visa etc); to mature (investment bond etc),dàoqī
弯曲,to bend; to curve around; curved; crooked; to wind; to warp,wānqū
迷失,to lose (one's bearings); to get lost,míshī
专职,special duty; assigned full time to a task,zhuānzhí
来电,"incoming telegram or telephone call; your telegram, telephone call, or message; to send a telegram or make a telephone call here (i.e. to the speaker); to have instant attraction to sb; to have chemistry with sb; to come back (of electricity, after an outage)",láidiàn
头号,first rate; top rank; number one,tóuhào
溶液,solution (chemistry),róngyè
团员,member; group member,tuányuán
马力,horsepower,mǎlì
去除,to remove; to dislodge,qùchú
笼罩,to envelop; to shroud,lǒngzhào
兼容,compatible,jiānróng
后备,reserve; backup,hòubèi
盼望,to hope for; to look forward to,pànwàng
承包,to contract; to undertake (a job),chéngbāo
往后,from now on; in the future; time to come,wǎnghòu
航运,shipping; transport,hángyùn
胳膊,arm,gēbo
活期,(banking) current (account); checking (account); demand (deposit etc),huóqī
过关,to cross a barrier; to get through (an ordeal); to pass (a test); to reach (a standard),guòguān
时间表,schedule; timetable,shíjiānbiǎo
私有,private; privately-owned,sīyǒu
忠于,to be loyal to,zhōngyú
筹划,to plan and prepare,chóuhuà
赛场,racetrack; field (for athletics competition),sàichǎng
歌迷,fan of a singer,gēmí
柔软,soft,róuruǎn
席位,"a seat (in a theater, stadium etc); parliamentary or congressional seat",xíwèi
铸造,to cast (pour metal into a mold),zhùzào
关节,joint (physiology); key point; critical phase,guānjié
生平,life (a person's whole life); in one's entire life,shēngpíng
肥胖,fat; obese,féipàng
根基,foundation,gēnjī
美化,to make more beautiful; to decorate; embellishment,měihuà
牛仔裤,jeans,niúzǎikù
开学,foundation of a University or College; school opening; the start of a new term,kāixué
露天,outdoors; al fresco; in the open,lùtiān
高价,high price,gāojià
转折,shift in the trend of events; turnaround; plot shift in a book; turn in the conversation,zhuǎnzhé
远处,distant place,yuǎnchù
偏差,bias; deviation,piānchā
长途,long distance,chángtú
叶子,foliage; leaf,yèzi
空虚,hollow; emptiness; meaningless,kōngxū
受贿,to accept a bribe,shòuhuì
愤慨,to resent; resentment,fènkǎi
静止,still; immobile; static; stationary,jìngzhǐ
肖像,"portrait (painting, photo etc); (in a general sense) representation of a person; likeness",xiàoxiàng
吃掉,to eat up; to consume,chīdiào
分明,clear; distinct; evidently; clearly,fēnmíng
动向,trend; tendency,dòngxiàng
田径,track and field (athletics),tiánjìng
畏惧,to fear; to dread; foreboding,wèijù
养活,"to provide for; to keep (animals, a family etc); to raise animals; to feed and clothe; support; the necessities of life; to give birth",yǎnghuo
崇高,majestic; sublime,chónggāo
人情,human emotions; social relationship; friendship; favor; a good turn,rénqíng
较量,to pit oneself against sb; to compete with sb; contest; battle; to haggle; to quibble,jiàoliàng
打动,to move (to pity); arousing (sympathy); touching,dǎdòng
飞跃,to leap,fēiyuè
提拔,to promote to a higher job; to select for promotion,tíbá
坠落,to fall; to drop,zhuìluò
亲生,one's own (child) (i.e. one's child by birth); biological (parents); birth (parents),qīnshēng
地毯,carpet; rug,dìtǎn
厚度,thickness,hòudù
至关重要,extremely important; vital; crucial; essential,zhìguānzhòngyào
长寿,"Changshou suburban district of Chongqing municipality, formerly in Sichuan",chángshòu
报考,to enter oneself for an examination,bàokǎo
电子邮件,email,diànzǐyóujiàn
火热,fiery; burning; fervent; ardent; passionate,huǒrè
紧迫,pressing; urgent,jǐnpò
修养,accomplishment; training; self-cultivation,xiūyǎng
入门,entrance door; to enter a door; introduction (to a subject),rùmén
看重,to regard as important; to care about,kànzhòng
只得,to have no alternative but to; to be obliged to,zhǐdé
大宗,large amount; staple; influential family of long standing,dàzōng
胜任,qualified; competent (professionally); to be up to a task,shèngrèn
民警,civil police; PRC police; abbr. for 人民警察,mínjǐng
加紧,to intensify; to speed up; to step up,jiājǐn
视力,vision; eyesight,shìlì
开机,to start an engine; to boot up (a computer); to press Ctrl-Alt-Delete; to begin shooting a film or TV show,kāijī
遥控,remote control,yáokòng
壮观,spectacular; magnificent sight,zhuàngguān
不敢当,lit. I dare not (accept the honor); fig. I don't deserve your praise; you flatter me,bùgǎndāng
打量,to size sb up; to look sb up and down; to take the measure of; to suppose; to reckon,dǎliang
挺好,very good,tǐnghǎo
细心,careful; attentive,xìxīn
化身,incarnation; reincarnation; embodiment (of abstract idea); personification,huàshēn
招牌,signboard; shop sign; reputation of a business,zhāopai
麻将,mahjong,májiàng
构思,to design; to plot; to plan out; to compose; to draw a mental sketch; conception; plan; idea; composition,gòusī
水稻,rice; paddy,shuǐdào
克制,to restrain; to control; restraint; self-control,kèzhì
文科,liberal arts; humanities,wénkē
轻视,contempt; contemptuous; to despise; to scorn; scornful,qīngshì
谋求,to seek; to strive for,móuqiú
拨打,to call; to dial,bōdǎ
摄影机,camera; movie camera,shèyǐngjī
风水,feng shui; geomancy,fēngshuǐ
细腻,exquisite; meticulous,xìnì
历届,"all previous (meetings, sessions etc)",lìjiè
展望,outlook; prospect; to look ahead; to look forward to,zhǎnwàng
盛会,pageant; distinguished meeting,shènghuì
鼓掌,to applaud; to clap,gǔzhǎng
国庆,National Day,guóqìng
卫生间,bathroom; toilet; WC,wèishēngjiān
腐蚀,corrosion; to corrode (degrade chemically); to rot; corruption,fǔshí
文人,scholar; literati,wénrén
频频,repeatedly; again and again; continuously; constantly,pínpín
背包,knapsack; rucksack; infantry pack; field pack; blanket roll,bēibāo
发票,invoice; receipt or bill for purchase,fāpiào
老化,to age (of person or object); becoming old,lǎohuà
盲人,blind person,mángrén
期盼,hope and expectation; to anticipate; to look forward to; to await expectantly,qīpàn
学堂,college; school (old),xuétáng
过境,to pass through a country's territory; transit,guòjìng
点心,light refreshments; pastry; dimsum (in Cantonese cooking); dessert,diǎnxin
熟知,to be well acquainted with,shúzhī
不定,indefinite; indeterminate; (botany) adventitious,bùdìng
难堪,hard to take; embarrassed,nánkān
嘿嘿,(onom.) he he; mischievous laughter,hēihēi
乳头,nipple,rǔtóu
代言人,spokesperson,dàiyánrén
戴尔,Dell,dàiěr
古希腊,ancient Greece,gǔxīlà
师长,military division level commander; teacher,shīzhǎng
辣椒,hot pepper; chili,làjiāo
胜负,victory or defeat; the outcome of a battle,shèngfù
碰上,to run into; to come upon; to meet,pèngshàng
演戏,to put on a play; to perform; fig. to pretend; to feign,yǎnxì
头顶,top of the head,tóudǐng
详尽,thorough and detailed; exhaustive; the tedious details in full,xiángjìn
误差,difference; error; inaccuracy,wùchā
避难,refuge; to take refuge; to seek asylum (political etc),bìnàn
卑鄙,base; mean; contemptible; despicable,bēibǐ
疲劳,fatigue; wearily; weariness; weary,píláo
救护车,ambulance,jiùhùchē
附带,supplementary; incidentally; in parentheses; by chance; in passing; additionally; secondary; subsidiary; to attach,fùdài
声望,popularity; prestige,shēngwàng
巅峰,summit; apex; pinnacle (of one's career etc); peak (of a civilization etc),diānfēng
白领,white-collar; white-collar worker,báilǐng
邮局,post office,yóujú
双胞胎,twin,shuāngbāotāi
振动,to vibrate; to shake; vibration,zhèndòng
外貌,profile; appearance,wàimào
场馆,sporting venue; arena,chǎngguǎn
兄妹,brother(s) and sister(s),xiōngmèi
抗生素,antibiotic,kàngshēngsù
遗漏,to overlook; to miss; to omit,yílòu
面粉,flour,miànfěn
纲要,outline; essential points,gāngyào
盘子,tray; plate; dish,pánzi
丰厚,generous; ample,fēnghòu
改动,to alter; to modify; to revise,gǎidòng
打交道,to come into contact with; to have dealings,dǎjiāodào
拦住,to stop; to bar the way,lánzhù
住户,household; inhabitant; householder,zhùhù
好不容易,with great difficulty; very difficult,hǎobùróngyì
师资,qualified teacher,shīzī
闭嘴,Shut up!; same as 閉上嘴巴|闭上嘴巴,bìzuǐ
巡回,to go around; to roam; to tour,xúnhuí
站立,to stand; standing; on one's feet,zhànlì
推断,to infer; to deduce; to predict; to extrapolate,tuīduàn
跳跃,to jump; to leap; to bound; to skip,tiàoyuè
宏伟,grand; imposing; magnificent,hóngwěi
预示,to indicate; to foretell; to forebode; to betoken,yùshì
足迹,footprint; track; spoor,zújì
忍耐,to endure; to bear with; to exercise patience; to restrain oneself; patience; endurance,rěnnài
鸭子,duck; male prostitute (slang),yāzi
重叠,"to overlap; to superimpose; to telescope; to run together; to duplicate; one over another; superposition; an overlap; redundancy; reduplication (in Chinese grammar, e.g. 散散步[san4 san4 bu4] to have a stroll)",chóngdié
私立,"private (company, school etc)",sīlì
老朋友,old friend; (slang) period; menstruation,lǎopéngyou
勤奋,hardworking; diligent,qínfèn
插手,to get involved in; to meddle; interference,chāshǒu
窃取,to steal; to seize,qièqǔ
危急,critical; desperate (situation),wēijí
原材料,raw materials; unprocessed materials,yuáncáiliào
海啸,tsunami,hǎixiào
危及,"to endanger; to jeopardize; a danger (to life, national security etc)",wēijí
海面,sea level; sea surface,hǎimiàn
疲惫,beaten; exhausted; tired,píbèi
好比,to be just like; can be compared to,hǎobǐ
精细,fine; meticulous; careful,jīngxì
毁坏,to damage; to devastate; to vandalize; damage; destruction,huǐhuài
功劳,contribution; meritorious service; credit,gōngláo
合伙,to act jointly; to form a partnership,héhuǒ
背面,the back; the reverse side; the wrong side,bèimiàn
当真,"to take seriously; serious; No joking, really!",dàngzhēn
繁忙,busy; bustling,fánmáng
里程碑,milestone,lǐchéngbēi
一味,blindly; invariably,yīwèi
拉开,to pull open; to pull apart; to space out; to increase,lākāi
旋律,melody,xuánlǜ
就座,N/A,N/A
座谈,to have an informal discussion,zuòtán
跟上,to catch up with; to keep pace with,gēnshàng
乌龟,tortoise; cuckold,wūguī
早晚,morning and evening; sooner or later,zǎowǎn
公道,justice; fairness; public highway,gōngdào
浮现,to appear before one's eyes; to come into view; to float into appearance; to come back (of images from the past); to emerge; it emerges; it occurs (to me that..),fúxiàn
堪称,can be rated as; can be said to be,kānchēng
僧人,monk,sēngrén
对峙,to stand opposite; to confront; confrontation,duìzhì
洗礼,baptism (lit. or fig.),xǐlǐ
退回,to return (an item); to send back; to go back,tuìhuí
常年,all year round; for years on end; average year,chángnián
出演,to appear (in a show etc); an appearance (on stage etc),chūyǎn
动工,to start (a building project),dònggōng
呕吐,to vomit,ǒutù
老人家,polite term for old woman or man,lǎorénjiā
督促,to supervise and urge completion of a task; to urge on,dūcù
邮票,(postage) stamp,yóupiào
评委,evaluation committee; judging panel; judging panel member; adjudicator; abbr. for 評選委員會委員|评选委员会委员[ping2 xuan3 wei3 yuan2 hui4 wei3 yuan2],píngwěi
牢固,firm; secure,láogù
海滨,shore; seaside,hǎibīn
收音机,radio,shōuyīnjī
徘徊,to dither; to hesitate; to pace back and forth; by ext. to hover around; to linger,páihuái
大方,expert; scholar; mother earth; a type of green tea,dàfāng
组装,to assemble and install,zǔzhuāng
奢侈,luxurious; extravagant,shēchǐ
探望,to visit; to call on sb; to look around,tànwàng
傻瓜,idiot; fool,shǎguā
责怪,to blame; to rebuke,zéguài
就职,to take office; to assume a post,jiùzhí
共鸣,resonance (physics); sympathetic response to sth,gòngmíng
去掉,to get rid of; to exclude; to eliminate; to remove; to delete; to strip out; to extract,qùdiào
宋代,Song dynasty (960-1279),sòngdài
评判,to judge (a competition); to appraise,píngpàn
贴近,to press close to; to snuggle close; intimate,tiējìn
国歌,national anthem,guógē
轮椅,wheelchair,lúnyǐ
微妙,subtle,wēimiào
点名,roll call; to mention sb by name; (to call or praise or criticize sb) by name,diǎnmíng
情怀,feelings; mood,qínghuái
回忆录,memoir,huíyìlù
游玩,to amuse oneself; to have fun; to go sightseeing; to take a stroll,yóuwán
心爱,beloved,xīnài
快车,"express (train, bus etc)",kuàichē
登山,to climb a mountain; climbing; mountaineering,dēngshān
合乎,to accord with; conforming to,héhū
说明书,(technical) manual; (book of) directions; synopsis (of a play or film); specification (patent),shuōmíngshū
前沿,"front-line; forward position; outpost; extending ahead; frontier (of science, technology etc)",qiányán
胡说,to talk nonsense; drivel,húshuō
肾脏,kidney,shènzàng
抵触,to conflict; to contradict,dǐchù
发抖,to tremble; to shake; to shiver,fādǒu
回升,to rise again after a fall; to pick up; rally (stock market etc),huíshēng
地雷,landmine; (fig.) sore point; weak spot,dìléi
财力,financial resources; financial ability,cáilì
用法,usage,yòngfǎ
杜绝,to put an end to,dùjué
所作所为,one's conduct and deeds,suǒzuòsuǒwéi
个儿,size; height; stature,gèr
让座,to give up one's seat for sb,ràngzuò
高跟鞋,high-heeled shoes,gāogēnxié
供奉,to consecrate; to enshrine and worship; an offering (to one's ancestors); a sacrifice (to a god),gòngfèng
拓宽,to broaden,tuòkuān
虚弱,weak; in poor health,xūruò
头疼,headache,tóuténg
邮箱,mailbox; post office box; email; email inbox,yóuxiāng
连续剧,serialized drama; dramatic series; show in parts,liánxùjù
吸取,"to absorb; to draw (a lesson, insight etc); to assimilate",xīqǔ
摔倒,to fall down; to slip and fall; to throw sb to the ground,shuāidǎo
触犯,to violate; to offend,chùfàn
莲花,"lotus flower (Nelumbo nucifera Gaertn, among others); water-lily",liánhuā
牌照,(business) licence; vehicle licence; car registration; licence plate,páizhào
言行,words and actions; what one says and what one does,yánxíng
本领,skill; ability; capability,běnlǐng
温室,greenhouse,wēnshì
这样一来,thus; if this happens then,zhèyàngyīlái
柜台,"sales counter; front desk; bar; (of markets, medicines etc) OTC (over-the-counter)",guìtái
宽恕,to forgive; forgiveness,kuānshù
番茄,tomato,fānqié
郁闷,gloomy; depressed,yùmèn
激素,hormone,jīsù
断裂,fracture; rupture; to break apart,duànliè
司长,bureau chief,sīzhǎng
注视,to watch attentively; to gaze at,zhùshì
孙女,son's daughter; granddaughter,sūnnǚ
风味,distinctive flavor; distinctive style,fēngwèi
曙光,dawn; fig. the dawn of a new era,shǔguāng
剂量,dosage; prescribed dose of medicine,jìliàng
人手,manpower; staff; human hand,rénshǒu
遗嘱,testament; will,yízhǔ
伤感,sad; emotional; sentimental; pathos,shānggǎn
悼念,to grieve,dàoniàn
绿地,green area (e.g. urban park or garden),lǜdì
编排,to arrange; to lay out,biānpái
起伏,to move up and down; to undulate; ups and downs,qǐfú
歼灭,to wipe out; to crush; to annihilate,jiānmiè
只顾,solely preoccupied (with one thing); engrossed; focusing (on sth); to look after only one aspect,zhǐgù
艰辛,hardships; arduous; difficult,jiānxīn
伸手,to reach out with one's hand; to hold out a hand; (fig.) to beg; to get involved; to meddle,shēnshǒu
香水,perfume; cologne,xiāngshuǐ
市场经济,market economy,shìchǎngjīngjì
顽强,tenacious; hard to defeat,wánqiáng
附件,enclosure; attachment (email); appendix,fùjiàn
火锅,hotpot,huǒguō
冷酷,grim; unfeeling; callous,lěngkù
磋商,to consult; to discuss seriously; to negotiate; to confer; negotiations; consultations,cuōshāng
动画片,animated film,dònghuàpiàn
淡化,to water down; to play down; to trivialize; to weaken; to become dull with time; to desalinate; desalination,dànhuà
舍不得,to hate to do sth; to hate to part with; to begrudge,shěbude
人行道,sidewalk,rénxíngdào
渔船,fishing boat,yúchuán
轰动,to cause a sensation; to create a stir in (a place); commotion; controversy,hōngdòng
血压,blood pressure,xuèyā
旺盛,vigorous; exuberant,wàngshèng
联通,China United Telecommunications Corporation; aka China Unicom or Unicom; abbr. for 中國聯通|中国联通,liántōng
半决赛,semifinals,bànjuésài
炒作,to hype; to promote (in the media),chǎozuò
完蛋,(coll.) to be done for,wándàn
凭证,proof; certificate; receipt; voucher,píngzhèng
会意,"combined ideogram (one of the Six Methods 六書|六书[liu4 shu1] of forming Chinese characters); Chinese character that combines the meanings of existing elements; also known as joint ideogram or associative compounds; to comprehend without being told explicitly; to cotton on; knowing (smile, glance etc)",huìyì
团聚,to reunite; to have a reunion,tuánjù
自然界,nature; the natural world,zìránjiè
粗鲁,coarse; crude (in one's manner); boorish,cūlǔ
轮廓,an outline; silhouette,lúnkuò
为难,to feel embarrassed or awkward; to make things difficult (for someone); to find things difficult (to do or manage),wéinán
专长,specialty; special knowledge or ability,zhuāncháng
面部,face (body part),miànbù
旗舰,flagship,qíjiàn
颠倒,to turn upside down; to reverse; back to front; confused; deranged; crazy,diāndǎo
着火,to ignite; to burn,zháohuǒ
精通,to be proficient in; to master (a subject),jīngtōng
坦诚,candid; frank; plain dealing,tǎnchéng
劝说,to persuade; persuasion; to advise,quànshuō
特产,special local product; (regional) specialty,tèchǎn
亲眼,with one's own eyes; personally,qīnyǎn
电网,electrical network,diànwǎng
当着,in front of; in the presence of,dāngzhe
烧烤,barbecue; to roast,shāokǎo
吩咐,to tell; to instruct; to command,fēnfù
萧条,bleak; desolate; (economic) depression or slump,xiāotiáo
敏锐,keen; sharp; acute,mǐnruì
金币,gold coin,jīnbì
书房,study (room); studio,shūfáng
指甲,fingernail,zhǐjia
歌舞,singing and dancing,gēwǔ
知觉,perception; consciousness,zhījué
充斥,to be full of; to flood; to congest,chōngchì
时隔,separated in time (usu. followed by a quantity of time),shígé
重型,heavy; heavy duty; large caliber,zhòngxíng
真假,genuine or fake; true or false,zhēnjiǎ
正宗,orthodox school; fig. traditional; old school; authentic; genuine,zhèngzōng
蓝图,blueprint,lántú
取胜,to score a victory; to prevail over one's opponents,qǔshèng
张贴,to post (a notice); to advertise,zhāngtiē
愈来愈,more and more,yùláiyù
比不上,can't compare with,bǐbùshàng
骨折,to suffer a fracture; (of a bone) to break; fracture,gǔzhé
演技,acting; performing skills,yǎnjì
到头来,in the end; finally; as a result,dàotóulái
谋生,to seek one's livelihood; to work to support oneself; to earn a living,móushēng
动静,(detectable) movement; (sign of) activity; movement and stillness,dòngjìng
山坡,hillside,shānpō
时髦,in vogue; fashionable,shímáo
甜美,sweet; pleasant; happy,tiánměi
牛仔,cowboy,niúzǎi
对准,to aim at; to target; to point at; to be directed at; registration; alignment (mechanical engineering),duìzhǔn
生词,new word (in textbook); word that is unfamiliar or not yet studied,shēngcí
跳高,high jump (athletics),tiàogāo
道德经,"the Book of Dao by Laozi or Lao-Tze, the sacred text of Daoism",dàodéjīng
弄好,N/A,N/A
说情,to intercede; to plead for sb else,shuōqíng
笑语,talking and laughing; cheerful talk,xiàoyǔ
滞留,to detain; retention,zhìliú
偷看,to peep; to peek; to steal a glance,tōukàn
地道,tunnel; causeway,dìdào
姓氏,family name,xìngshì
款式,pattern; style; design,kuǎnshì
核电站,nuclear power plant,hédiànzhàn
急性,acute,jíxìng
告诫,to warn; to admonish,gàojiè
妖怪,monster; devil,yāoguài
随身,to (carry) on one's person; to (take) with one,suíshēn
来宾,Laibin prefecture-level city in Guangxi,láibīn
晶体,crystal,jīngtǐ
鸡肉,chicken meat,jīròu
新手,new hand; novice; raw recruit,xīnshǒu
纵横,"lit. warp and weft in weaving; vertically and horizontal; length and breadth; criss-crossed; able to move unhindered; abbr. for 合縱連橫|合纵连横[He2 zong4 Lian2 heng2], School of Diplomacy during the Warring States Period (475-221 BC)",zònghéng
铃声,ring; ringtone; bell stroke; tintinnabulation,língshēng
面孔,face,miànkǒng
与众不同,to stand out from the masses (idiom),yǔzhòngbùtóng
梅花,plum blossom; clubs ♣ (a suit in card games); wintersweet (dialect),méihuā
状元,top scorer in the palace examination (highest rank of the Imperial examination system); see 榜眼[bang3 yan3] and 探花[tan4 hua1]; top scorer in college entrance examination 高考[gao1 kao3]; (fig.) the most brilliantly talented person in the field; leading light,zhuàngyuán
马车,cart; chariot; carriage; buggy,mǎchē
催眠,hypnosis,cuīmián
技艺,skill; art,jìyì
北极,the North Pole; the Arctic Pole; the north magnetic pole,běijí
人工智能,artificial intelligence (AI),réngōngzhìnéng
光纤,optical fiber; fiber optics,guāngxiān
质问,to question; to ask questions; to inquire; to bring to account; to interrogate,zhìwèn
跳动,to throb; to pulse; to bounce; to jiggle; to jump about,tiàodòng
箱子,suitcase; chest; box; case; trunk,xiāngzi
笼子,cage; basket; container,lóngzi
鼓动,to agitate; to arouse; to instigate; to encite,gǔdòng
高空,high altitude,gāokōng
下调,to demote; to pass down to a lower unit,xiàdiào
通俗,common; everyday; average,tōngsú
出院,to leave hospital; to be discharged from hospital,chūyuàn
挽回,to retrieve; to redeem,wǎnhuí
匆匆,hurriedly,cōngcōng
性欲,sexual desire; lust,xìngyù
亚军,second place (in a sports contest); runner-up,yàjūn
月薪,monthly income (in kind),yuèxīn
不要紧,"unimportant; not serious; it doesn't matter; never mind; it looks all right, but",bùyàojǐn
婚纱,wedding dress,hūnshā
整齐,orderly; neat; even; tidy,zhěngqí
关掉,to switch off; to shut off,guāndiào
腐朽,rotten; decayed; decadent; degenerate,fǔxiǔ
泰山,"Mt Tai in Shandong, eastern mountain of the Five Sacred Mountains 五嶽|五岳[Wu3 yue4]",tàishān
画画,N/A,N/A
劣势,inferior; disadvantaged,lièshì
热衷,to feel strongly about; to be fond of; obsession; deep commitment,rèzhōng
禽兽,birds and animals; creature; beast (brutal person),qínshòu
直观,direct observation; directly perceived through the senses; intuitive; audiovisual,zhíguān
使劲,to exert all one's strength,shǐjìn
猜中,to guess correctly; to figure out the right answer,cāizhòng
过头,to overdo it; to overstep the limit; excessively; above one's head; overhead,guòtóu
狭隘,narrow; tight; narrow minded; lacking in experience,xiáài
地名,place name; toponym,dìmíng
合唱,chorus; to chorus,héchàng
拉动,N/A,N/A
诉说,to recount; to tell of; to relate; (fig.) (of a thing) to stand as testament to (some past history),sùshuō
简短,"brief (statement, summary etc); briefly; brevity",jiǎnduǎn
相传,to pass on; to hand down; tradition has it that ...; according to legend,xiāngchuán
支票,check (bank); cheque,zhīpiào
牵头,to lead (an animal by the head); to take the lead; to coordinate (a combined operation); to mediate; a go-between (e.g. marriage broker),qiāntóu
驾照,driver's license,jiàzhào
有所不同,to differ to some extent (idiom),yǒusuǒbùtóng
抗衡,contend against,kànghéng
火花,spark; sparkle,huǒhuā
玩耍,to play (as children do); to amuse oneself,wánshuǎ
迷路,to lose the way; lost; labyrinth; labyrinthus vestibularis (of the inner ear),mílù
不予,to withhold; to refuse,bùyú
空难,air crash; aviation accident or incident,kōngnàn
编造,to compile; to draw up; to fabricate; to invent; to concoct; to make up; to cook up,biānzào
螺旋,spiral; helix; screw,luóxuán
烟雾,smoke; mist; vapor; smog; fumes,yānwù
便捷,convenient and fast,biànjié
图画,drawing; picture,túhuà
粗糙,crude; gruff; rough; coarse,cūcāo
堵塞,to clog up; blockage,dǔsè
畅通,unimpeded; free-flowing; straight path; unclogged; move without obstruction,chàngtōng
就医,to receive medical treatment,jiùyī
用餐,to eat a meal,yòngcān
畸形,deformity; abnormality,jīxíng
承载,to bear the weight; to sustain,chéngzài
践踏,to trample,jiàntà
反过来,conversely; in reverse order; in an opposite direction,fǎnguolái
一心,wholeheartedly; heart and soul,yīxīn
审定,to examine sth and make a decision; to screen; to evaluate; to approve,shěndìng
自负,conceited; to take responsibility,zìfù
领会,to understand; to comprehend; to grasp,lǐnghuì
牵扯,to involve; to implicate; to be interrelated,qiānchě
字典,"Chinese character dictionary (containing entries for single characters, contrasted with a 詞典|词典[ci2 dian3], which has entries for words of one or more characters); (coll.) dictionary",zìdiǎn
主教练,N/A,N/A
自助,self-service,zìzhù
犯规,to break the rules; an illegality; a foul,fànguī
境地,circumstances,jìngdì
奥林匹克,Olympic,àolínpǐkè
延误,to delay; to be held up; to miss (an opportunity); delay; holdup,yánwu
出示,to show; to take out and show to others; to display,chūshì
结识,to get to know sb; to meet sb for the first time,jiéshí
断定,to conclude; to determine; to come to a judgment,duàndìng
评定,to evaluate; to make one's judgment,píngdìng
改革开放,to reform and open to the outside world; refers to Deng Xiaoping's policies from around 1980,gǎigékāifàng
丰满,"Fengman district of Jilin city 吉林市, Jilin province",fēngmǎn
字眼,wording,zìyǎn
稳健,firm; stable and steady,wěnjiàn
毛主席,"Chairman Mao; Mao Zedong 毛澤東|毛泽东 (1893-1976), Chinese Communist leader",máozhǔxí
照料,to tend; to take care of sb,zhàoliào
倒下,to collapse; to topple over,dǎoxià
培训班,training class,péixùnbān
羽毛,feather; plumage; plume,yǔmáo
蜂蜜,honey,fēngmì
微观,micro-; subatomic,wēiguān
预感,to have a premonition; premonition,yùgǎn
莫过于,nothing can surpass,mòguòyú
屡屡,again and again; repeatedly,lǚlǚ
越狱,to break out of prison; to jailbreak (an iOS device etc),yuèyù
欠缺,to be deficient in; lapse; deficiency,qiànquē
客房,guest room,kèfáng
呼应,to conform (with); to echo; to correlate well; (linguistics) agreement,hūyìng
看望,to visit; to pay a call to,kànwàng
唤起,"to waken (to action); to rouse (the masses); to evoke (attention, recollection etc)",huànqǐ
芒果,mango (loanword),mángguǒ
光盘,compact disc; CD or DVD; CD ROM,guāngpán
贵宾,honored guest; distinguished guest; VIP,guìbīn
光彩,luster; splendor; radiance; brilliance,guāngcǎi
信箱,mailbox; post office box,xìnxiāng
继而,then; afterwards,jìér
卡子,clip; hair fastener; checkpoint,qiǎzi
乱七八糟,everything in disorder (idiom); in a hideous mess; at sixes and sevens,luànqībāzāo
值班,to work a shift; on duty,zhíbān
风流,distinguished and accomplished; outstanding; talented in letters and unconventional in lifestyle; romantic; dissolute; loose,fēngliú
气势,imposing manner; loftiness; grandeur; energetic looks; vigor,qìshì
记号,mark; symbol; notation; seal,jìhao
假冒,to impersonate; to pose as (someone else); to counterfeit; to palm off (a fake as a genuine),jiǎmào
团伙,(criminal) gang; gang member; accomplice; crony,tuánhuǒ
开阔,wide; open (spaces); to open up,kāikuò
性情,nature; temperament,xìngqíng
责备,to blame; to criticize; condemnation; reproach,zébèi
装扮,to decorate; to adorn; to dress up; to disguise oneself,zhuāngbàn
独立自主,independent and autonomous (idiom); self-determination; to act independently; to maintain control over one's own affairs,dúlìzìzhǔ
烟火,smoke and fire; fireworks,yānhuǒ
酝酿,(of alcohol) to ferment; (of a crisis) to be brewing; to mull over (an issue); to hold exploratory discussions,yùnniàng
寄托,"to entrust (to sb); to place (one's hope, energy etc) in; a thing in which you invest (your hope, energy etc)",jìtuō
照相,to take a photograph,zhàoxiàng
品德,moral character,pǐndé
发起人,proposer; initiator; founding member,fāqǐrén
外头,outside; out,wàitou
日历,calendar,rìlì
颤抖,to shudder; to shiver; to shake; to tremble,chàndǒu
特长,personal strength; one's special ability or strong points,tècháng
短裤,short pants; shorts,duǎnkù
感慨,"to sigh with sorrow, regret etc; rueful; deeply moved",gǎnkǎi
顺应,to comply; to conform to; in tune with; adapting to; to adjust to,shùnyìng
筹码,bargaining chip; gaming chip; casino token,chóumǎ
水手,mariner; sailor; seaman,shuǐshǒu
风貌,style; manner; ethos,fēngmào
宣读,to read out loud to an audience; a prepared speech (e.g. to a party conference),xuāndú
造假,to counterfeit; to pass off a fake as genuine,zàojiǎ
哎呀,"interjection of wonder, shock or admiration",āiyā
民办,run by the local people; privately operated,mínbàn
轻型,"light (machinery, aircraft etc)",qīngxíng
全心全意,heart and soul; wholeheartedly,quánxīnquányì
哈哈哈,N/A,N/A
不平,uneven; injustice; unfairness; wrong; grievance; indignant; dissatisfied,bùpíng
停顿,to halt; to break off; pause (in speech),tíngdùn
辨别,to differentiate; to distinguish; to discriminate,biànbié
冰雪,ice and snow,bīngxuě
步入,to step into; to enter,bùrù
丑恶,ugly; repulsive,chǒuè
火炬,(flaming) torch,huǒjù
瓶颈,bottleneck,píngjǐng
失眠,to suffer from insomnia,shīmián
辩解,to explain; to justify; to defend (a point of view etc); to provide an explanation; to try to defend oneself,biànjiě
悲痛,grieved; sorrowful,bēitòng
心得,"what one has learned (through experience, reading etc); knowledge; insight; understanding; tips",xīndé
橘子,tangerine,júzi
堆积,to pile up; to heap; accumulation,duījī
先天,inborn; innate; natural,xiāntiān
苦恼,vexed; distressed,kǔnǎo
试行,to try out; to test,shìxíng
瓶子,bottle,píngzi
边疆,border area; borderland; frontier; frontier region,biānjiāng
诸位,(pron) everyone; Ladies and Gentlemen; Sirs,zhūwèi
忘掉,to forget,wàngdiào
罐头,tin; can,guàntou
